numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.30,-0.26,1.26,11.60,36.81,23.76
2,0.13,-0.09,1.16,39.50,7.11,75.10
3,0.05,-0.06,1.00,19.84,-12.34,17.49
4,-0.00,0.21,0.96,-21.92,14.60,-41.84
5,0.29,-0.33,1.09,6.34,-41.27,-76.04
6,0.48,-0.41,1.24,34.31,39.26,59.32
7,0.42,-0.25,1.19,89.85,32.34,180.90
8,0.02,0.22,0.98,-4.29,-118.32,48.29
9,0.01,0.44,0.99,-17.45,27.03,-36.46
10,0.34,0.15,1.12,-84.73,-97.80,-152.48
11,0.44,-0.35,1.26,-45.85,48.49,24.94
12,0.38,-0.14,0.95,-28.60,250.13,10.02
13,0.21,-0.23,1.56,19.56,178.39,-5.63
14,-0.37,-0.09,0.81,64.34,250.13,-8.10
15,-0.67,-0.05,0.82,30.67,136.15,-32.90
16,-0.87,-0.07,0.50,30.28,157.24,-47.12
17,-1.00,-0.12,0.13,-5.40,79.29,-14.46
18,-1.02,-0.01,0.17,-3.90,-49.56,7.76
19,-0.87,0.06,0.49,-1.15,-102.58,26.65
20,-0.58,0.02,1.14,-28.35,-126.24,64.70
21,-0.48,-0.12,1.02,-49.88,-191.80,52.89
22,-0.13,-0.16,1.25,-54.37,-173.81,-4.50
23,-0.03,0.01,1.21,10.51,-122.74,-56.04
24,0.13,-0.15,1.15,-3.72,-104.85,-17.92
25,0.21,-0.12,1.12,7.79,-13.82,14.82
26,0.13,0.05,1.24,-14.50,-13.90,-16.58
27,0.23,-0.17,1.20,-80.06,59.22,-85.64
28,0.09,-0.43,1.17,-55.02,-3.38,-23.17
29,0.13,-0.34,1.03,12.64,-62.12,2.31
30,0.21,-0.16,1.04,77.30,28.07,1.92
31,0.11,0.16,1.28,144.69,30.85,58.05
32,-0.04,0.52,0.96,186.75,63.97,79.24
33,-0.09,0.71,0.81,172.37,30.57,34.00
34,-0.13,0.93,0.64,116.25,46.74,-3.44
35,-0.14,0.94,0.48,99.08,36.29,-36.98
36,-0.17,0.74,0.21,-48.27,30.64,11.11
37,-0.16,0.98,0.46,-143.33,-0.66,-13.27
38,-0.00,0.74,0.89,-250.14,105.28,-5.52
39,-0.23,0.38,1.14,-250.14,-36.02,-62.82
40,-0.14,-0.21,1.13,-229.00,17.92,-47.01
41,-0.14,-0.40,1.27,-148.12,-33.89,-17.56
42,-0.12,-0.43,0.67,-141.69,-87.74,-102.95
43,0.10,-0.73,0.87,-207.76,-90.29,-41.70
44,0.06,-0.68,0.42,-94.44,-30.50,-51.00
45,0.10,-0.95,0.35,18.78,-0.61,-26.49
46,0.21,-0.96,0.64,84.81,21.77,3.68
47,0.22,-0.74,0.79,229.04,-44.20,-8.40
48,0.19,-0.31,1.10,242.60,12.60,-13.10
49,0.03,-0.20,0.84,172.47,90.69,7.32
50,-0.04,-0.06,0.92,108.01,-14.10,-18.05
51,0.08,0.14,1.17,-15.23,40.46,57.65
52,0.17,-0.04,1.43,-75.23,97.73,36.15
53,0.05,-0.09,1.47,-77.23,218.79,48.02
54,-0.49,-0.02,1.05,-23.24,91.41,17.44
55,-0.74,0.03,0.66,44.35,152.56,12.05
56,-0.83,0.07,0.72,30.06,95.03,17.93
57,-0.90,0.17,0.54,18.76,66.28,-5.97
58,-0.98,0.18,0.31,4.78,-21.17,-19.33
59,-0.82,0.00,0.38,-15.77,-125.92,-50.66
60,-0.60,-0.05,0.76,-3.41,-154.30,-46.56
61,-0.54,0.23,0.69,-13.17,-113.27,-0.22
62,-0.30,-0.04,0.69,-35.82,-193.47,10.98
63,-0.01,0.10,1.09,-103.92,-34.27,60.14
64,0.30,-0.12,1.20,-34.31,-81.02,29.89
